,index,name,position,total_distance,total_time,category3
83,83,노랑통닭 하남감일점,경기 하남시 감일백제로 155 112호,10002.0,7835.0,치킨
84,84,형노가(하남5호점),경기 하남시 미사강변중앙로 190 1층 136호~140호,1735.0,1382.0,고기
85,85,,,,,
86,86,배떡 하남미사점,경기 하남시 미사강변한강로 270-1 201동 1층 1-185호,1335.0,1082.0,분식
87,87,,,,,
88,88,,,,,
89,89,,,,,
90,90,스타클럽 5 푸드풋팅(star club 5 food futting),경기 하남시 미사강변중앙로 220 2층 202203호,1433.0,1167.0,한식당
91,91,,,,,
92,92,소소떡볶이 하남미사점,경기 하남시 미사강변중앙로198번길 35 1층 104호,1436.0,1169.0,분식
93,93,인생장칼 하남풍산점,경기 하남시 하남대로 947 D동 1층 105호,4059.0,3364.0,분식
94,94,,,,,
95,95,봉평 메밀옥,경기 하남시 대청로 15 110호,4676.0,3809.0,한식당
96,96,,,,,
97,97,감성낙곱새 하남미사점,경기 하남시 미사강변동로84번길 20 퀸즈파크미사1차 오피스텔 2층 204호,1832.0,1454.0,해물
98,98,,,,,
99,99,위례제주도니,경기 하남시 위례대로 220 상가동 101A호 지웰푸르지오,13659.0,10718.0,고기
100,100,뱁스카페,경기 하남시 하남대로 947 하남테크노밸리U1 C동 105호,4059.0,3364.0,카페
101,101,소반짓고,경기 하남시 미사강변동로 95 1층 1074호,1690.0,1360.0,한식당
102,102,빵먹는 코끼리,경기 하남시 하남대로784번안길 16 1층,4578.0,3686.0,베이커리
103,103,,,,,
104,104,마시쏘부대찌개 미사역직영점,경기 하남시 미사강변동로 100-1 1층 1051호,1499.0,1186.0,한식당
105,105,리틀 블루문(LITTLE BLUE MOON),경기 하남시 미사강변한강로158번안길 12 1층 리틀블루문,712.0,573.0,카페
106,106,탭플레이커피 스타필드 하남점,경기 하남시 미사대로 750 스타필드 하남 1층 일렉트로마트,4661.0,3740.0,
107,107,,,,,
108,108,,,,,
109,109,구석집 하남미사점,경기 하남시 미사강변남로 91 (망월동),2028.0,1624.0,한식당
110,110,오늘밤 노가리,경기 하남시 미사강변중앙로 226 우성르보아파크 상가 123호,1343.0,1102.0,호프
111,111,미사냉삼집,경기 하남시 미사강변중앙로 221 1층 114호,1456.0,1213.0,고기
112,112,,,,,
113,113,,,,,
114,114,깐부 불쭈꾸미 동태탕,경기 하남시 대청로 15,4676.0,3809.0,해물
115,115,,,,,
116,116,원조 부안집 하남풍산역점,경기 하남시 덕풍로 71 107호,3068.0,2481.0,고기
117,117,,,,,
118,118,권동식당,경기 하남시 미사강변중앙로 161 1층 111호,2048.0,1635.0,한식당
119,119,,,,,
120,120,,,,,
121,121,,,,,
122,122,미분당 하남미사점,경기 하남시 미사강변대로226번안길 35 청담프라자 1층 109호,1377.0,1197.0,아시안 음식
123,123,반미362 하남미사점,경기 하남시 미사강변동로 82 105호,1880.0,1458.0,아시안 음식
124,124,,,,,
125,125,파슷타애요 하남점,서울 강동구 양재대로115길 56 1층,8074.0,6404.0,양식
126,126,모뜰,경기 하남시 미사강변동로84번길 39 2층 204호 에코타워,1476.0,1197.0,한식당
127,127,,,,,
128,128,,,,,
129,129,청년부찌냉삼,경기 하남시 미사강변중앙로 11 122~123호,3666.0,3053.0,한식당
130,130,,,,,
131,131,토리아에즈 미사역점,경기 하남시 미사강변동로 95 힐스테이트미사역그랑파사쥬 1층 1024호,1690.0,1360.0,일식집
132,132,고기극찬 하남미사점,경기 하남시 미사대로 550 현대지식산업센터1차 3번게이트 25호,2268.0,1853.0,고기
133,133,그린스미스&에그존 하남미사점,경기 하남시 미사강변동로 100-1 동양파라곤스퀘어 지하1층 B142호,1499.0,1186.0,야채
134,134,카페 종종,경기 수원시 권선구 권광로 87 2층 우측,44506.0,34658.0,카페
135,135,가마치통닭 덕풍시장점,경기 하남시 하남대로861번길 43 (덕풍동),4310.0,3408.0,치킨
136,136,두끼 하남미사점,경기 하남시 미사강변대로226번안길 25 디럭스프라자1 2층 203,1357.0,1183.0,분식
137,137,크닭,경기 하남시 신평로 39-13 1층,4877.0,3866.0,
138,138,배추야놀자,경기 하남시 위례대로 190 1층 126호,13906.0,10912.0,카페
139,139,포도 앤 보리,경기 하남시 하남대로784번길 40-2,4519.0,3664.0,카페
140,140,게장맨,경남 함안군 가야읍 함마대로 1382 1층,-1.0,-1.0,해물
141,141,한채당 베이커리,경기 하남시 미사동로 52-18 한채당 베이커리카페,1278.0,1064.0,카페
142,142,오한수 우육면가 하남미사점,경기 하남시 미사대로 520 1층 D동 C-115호,1967.0,1638.0,중국집
143,143,펫타리움 미사,경기 하남시 덕풍천서로 85 펫타리움 하남미사,3669.0,3007.0,
144,144,,,,,
145,145,호식이두마리치킨 하남미사역점,경기 하남시 미사강변한강로 295 118호 119호,1262.0,987.0,치킨
146,146,,,,,
147,147,시선 하남미사점,경기 하남시 미사강변중앙로 180 1층 1026 1027호,1821.0,1444.0,일식집
148,148,교촌치킨 미사역점,경기 하남시 미사강변중앙로 181 더퍼스트테라스 1층 교촌치킨 미사역점,1869.0,1507.0,치킨
149,149,누들코드,경기 하남시 미사강변동로 85 2층 217호,1759.0,1410.0,아시안 음식
150,150,,,,,
151,151,별에서 온 토끼,경기 하남시 미사강변중앙로 220 우성미사타워 111호,1433.0,1167.0,일식당
152,152,뱃살도둑 감일점,경기 하남시 감일백제로 161 감일월드퍼스티 2층 202호,9924.0,7779.0,야채
153,153,편백가원 하남미사점,경기 하남시 미사강변중앙로 193 2층 204 205호,1735.0,1411.0,샤브샤브
154,154,그린호미(Green Homee),경기 하남시 미사강변서로 16 지하1층 RB155호(풍산동 하우스디스마트밸리),3427.0,2738.0,카페
155,155,,,,,
156,156,바른치킨 미사강변점,경기 하남시 미사강변대로34번길 66 플레이스이안,2972.0,2411.0,치킨
157,157,맘스터치 미사강변대로점,경기 하남시 미사강변대로 80 그린프라자 2층 201호,2742.0,2188.0,햄버거
158,158,,,,,
159,159,효자동설렁탕 하남점,경기 하남시 미사강변한강로342번길 20 1층 효자동설렁탕 하남점,1857.0,1531.0,한식당
160,160,고돼지 하남점,경기 하남시 미사강변동로 125 푸르지오시티 상가 A동 229호,1351.0,1108.0,고기
161,161,게런티 홀덤 라운지,경기 하남시 신장로 156 2층 202호,4600.0,3634.0,
162,162,한양화로 위례점,경기 하남시 위례대로 190 1층 119호,13906.0,10912.0,
163,163,노모어피자 미사점,경기 하남시 미사강변동로84번길 20 1층 117호,1832.0,1454.0,피자
164,164,미분당 미사역점,경기 하남시 미사강변동로 82 서건미사메트로타워 1층 107호,1880.0,1458.0,아시안 음식
165,165,바이더크릭(by the creek),경기 하남시 미사강변중앙로 221 304호(망월동 센트럴파크2),1456.0,1213.0,호프
166,166,차이황,경기 하남시 위례대로6길 20-2 301동 1층 112호,13128.0,10213.0,중국집
167,167,푸라닭 하남신장점,경기 하남시 신장동로 35 푸라닭치킨 하남 신장점,4347.0,3452.0,치킨
168,168,,,,,
169,169,,,,,
170,170,,,,,
171,171,저돌 쪽 갈비찜,경기 하남시 덕풍동로 111-10 . 1층 A-105 A-106호,3189.0,2542.0,한식당
172,172,하하족발,경기 하남시 미사강변동로 95 지하 1층 1036호,1690.0,1360.0,고기
173,173,킹콩 부대찌개 하남현대한강미사점,경기 하남시 미사대로 540 하남현대산업지식센터2차 AB동 123호,2138.0,1760.0,한식당
174,174,이비가짬뽕 올림픽공원점,경기 하남시 감일남로 30 2층,10887.0,8441.0,중국집
175,175,행복소머리곰탕전문,경기 하남시 미사강변중앙로 189 1층 106호,1787.0,1448.0,한식당
176,176,담아봄에,경기 하남시 검단산로218번길 3 . 1층,6032.0,4831.0,한식당
177,177,카페더릿(Cafe The Lit),경기 하남시 미사동로40번길 75-19 1층,1525.0,1240.0,카페
178,178,안나스낵 미사역점,경기 하남시 미사강변중앙로 174 헤링턴타워레이크파크 110호,1907.0,1505.0,주류
179,179,,,,,
180,180,해운대연탄생갈비 하남감일점,경기 하남시 감일백제로 181 1층 118~119호,9711.0,7598.0,고기
181,181,애주꿀전,경기 하남시 미사강변중앙로 193 3층,1735.0,1411.0,식당
182,182,하노이 맥주밤거리 하남미사역점,경기 하남시 미사강변중앙로 190 하남미사롯데캐슬스타 1층 123호,1735.0,1382.0,식당
183,183,바다커피&호프,경기 하남시 신평로 68,4710.0,3797.0,카페
184,184,본죽&비빔밥cafe 미사역점,경기 하남시 미사강변남로 103 113호,1895.0,1526.0,한식당
185,185,BDC카페,경기 하남시 미사강변동로84번길 20 112호 BDC카페,1832.0,1454.0,카페
186,186,보리향칼국수,경기 하남시 미사강변동로 95 1140호(망월동 힐스테이트 미사역 그랑파사쥬(12-1BL),1690.0,1360.0,한식당
187,187,누커스,경기 하남시 미사강변중앙로 212 203호 누커스,1489.0,1265.0,카페
188,188,조개호,경기 하남시 미사강변중앙로 189 에코브리지2 116호,1787.0,1448.0,해물
189,189,,,,,
190,190,,,,,
191,191,,,,,
192,192,도마르 스시,경기 하남시 미사강변한강로 270-1 1-198,1335.0,1082.0,일식집
193,193,스시 시오미즈,경기 하남시 미사강변동로 95 힐스테이트 미사 역그랑파사쥬 12-1BL 2층 2094호,1690.0,1360.0,일식당
194,194,마라홀릭 마라탕 감일점,경기 하남시 감일백제로180번길 17 2층 212호,9638.0,7518.0,중국집
195,195,한남동그집 현대지식산업센터2차점,경기 하남시 미사대로 520 DC01-027호,1967.0,1638.0,식당
196,196,화로상회 하남감일점,경기 하남시 감일순환로 55 2층 203 204호,9847.0,7656.0,고기
197,197,돈까스짱 미사점,경기 하남시 미사강변대로226번안길 25 1층 114호 돈까스짱 미사점,1357.0,1183.0,돈가스
198,198,,,,,
199,199,비비큐 위례스타필드점,경기 하남시 위례대로 220 상가동125호,13659.0,10718.0,치킨
200,200,일일양 미사직영점,경기 하남시 미사강변중앙로 200 1층 127호,1573.0,1269.0,고기
201,201,플라워앤쭈,경기 하남시 미사강변동로 100-1 1098~1103호,1499.0,1186.0,한식당
202,202,파스쿠찌 하남감일DI점,경기 하남시 동남로 451,9702.0,7538.0,카페
203,203,,,,,
204,204,,,,,
205,205,,,,,
206,206,,,,,
207,207,,,,,
208,208,릴리 시나몬,경기 하남시 미사강변중앙로 200 B동 1층 126호,1573.0,1269.0,양식
209,209,압구정화로구이 하남시청점,경기 하남시 대청로 38-8 1층,4605.0,3792.0,
210,210,탑탑 다이너(TopTop Diner),경기 하남시 미사강변동로 100-1 파라곤스퀘어 1105호 건물 뒷편 테라스라인(내부연결X,1499.0,1186.0,햄버거
211,211,미사에꼬치다,경기 하남시 미사강변중앙로 174 106호,1907.0,1505.0,호프
212,212,온락도시락,경기 하남시 하남대로 947 하남테크노밸리U1센터 A동166호 167호 온락본점,4059.0,3364.0,한식당
213,213,,,,,
214,214,삼산회관 하남미사강변점,경기 하남시 미사강변북로30번길 134 1층 101호,1534.0,1241.0,고기
215,215,Check Plate(체크 플레이트),경기 하남시 미사강변한강로 290-3 모노라운지상가 A동 101호 Check Plate,1378.0,1111.0,양식
216,216,밀회관 하남미사역점,경기 하남시 미사강변한강로 270-1 201동 1층 211212호,1335.0,1082.0,호프
217,217,감탄밥상,경기 하남시 미사강변한강로220번길 43,797.0,718.0,식당
218,218,뉴욕버거 하남(SKV1)점,경기 하남시 미사강변한강로 155 111호,212.0,156.0,햄버거
219,219,정보인 부산돼지국밥(하남미사점),경기 하남시 미사강변대로34번길 120,2746.0,2223.0,한식당
220,220,,,,,
221,221,배씨상회 하남미사점,경기 하남시 미사강변중앙로 200 1층 120-2호,1573.0,1269.0,식당
222,222,,,,,
223,223,,,,,
224,224,,,,,
225,225,,,,,
226,226,일품 양평해장국 하남미사점,경기 하남시 미사강변동로 95,1690.0,1360.0,해장국
227,227,딜리스볼,경기 하남시 미사강변대로226번안길 9 미사드림타워 1층 딜리스볼,1307.0,1188.0,한식당
228,228,에그드랍 미사점,경기 하남시 미사강변중앙로 223 센트럴파크1 102호,1423.0,1189.0,간식
229,229,,,,,
230,230,,,,,
231,231,오스테리아 렌조(OSTERIA RENZO),경기 하남시 미사강변북로30번안길 30 1층,1652.0,1382.0,
232,232,,,,,
233,233,냐항바바바 미사역점,경기 하남시 미사강변동로 100-1 미사파라곤스퀘어 1111호,1499.0,1186.0,아시안 음식
234,234,,,,,
235,235,,,,,
236,236,,,,,
237,237,한솥도시락 미사2동점,경기 하남시 미사강변대로226번길 14 109호,1603.0,1320.0,식당 아님
238,238,팔각도 하남미사역점,경기 하남시 미사강변중앙로204번길 21 1층 105호 106-1호,1488.0,1235.0,고기
239,239,댕크야드(Dank yard),경기 하남시 미사강변중앙로 173 3층 310-1호,1940.0,1557.0,식당
240,240,,,,,
241,241,비.마이 가든(B. my Garden),경기 양평군 옥천면 남한강변길 209 1층 비마이가든 양평본점,30214.0,23497.0,카페
242,242,브런치&카페 알로(Brunch&Cafe allo),경기 하남시 미사강변한강로 165 AC01-25호 카페알로,381.0,274.0,카페
243,243,,,,,
244,244,보석어묵CAFE,경기 하남시 미사강변남로 131 퀸즈파크 2차 214호,1715.0,1341.0,분식
245,245,자담치킨 위례스타필드점,경기 하남시 위례대로 190 상가동 162호,13906.0,10912.0,치킨
246,246,용갈집,경기 하남시 하남대로802번길 68 아트빌딩 1층,4422.0,3594.0,한식당
247,247,참살이 샐러드,경기 하남시 하남대로 747 하남두산위브파크 1층 102호,5037.0,4063.0,야채
248,248,감동노가리,경기 하남시 미사강변한강로 270-1,1335.0,1082.0,호프
249,249,,,,,
250,250,,,,,
251,251,,,,,
252,252,설맥 미사점,경기 하남시 미사강변중앙로 208 105호106호,1543.0,1303.0,호프
253,253,,,,,
254,254,,,,,
255,255,탑 해물칼국수(하남점),경기 하남시 서하남로 438 2층,7560.0,5867.0,분식
256,256,신사꽃등심 미사직영점,경기 하남시 미사강변동로 100-1 1층 1106 1107호,1499.0,1186.0,고기
257,257,하남찌개마을 국내산냉삼,경기 하남시 감일순환로 55 101호 102호,9847.0,7656.0,한식당
258,258,테임드커피(Tamed coffee),경기 하남시 미사강변북로30번길 170 1층,1380.0,1133.0,카페
259,259,,,,,
260,260,두꺼비토종 순대국,경기 하남시 하남대로801번길 65 101호 두꺼비토종순대국,4881.0,3936.0,식당
261,261,,,,,
262,262,갈속집 하남시청역점,경기 하남시 신평로 66 1층,4717.0,3802.0,고기
263,263,,,,,
264,264,,,,,
265,265,디디키키 베이커리,경기 하남시 감일백제로 165-1 상가동 지1층 105호,9992.0,7800.0,베이커리
266,266,,,,,
267,267,오션스펍 하남미사점,경기 하남시 미사강변중앙로 200 E편한세상시티미사 202호,1573.0,1269.0,
268,268,몽땅만두 미사역점,경기 하남시 미사강변동로 70 더 오페라1,1825.0,1448.0,분식
269,269,한없는커피,경기 하남시 미사강변중앙로 218 1층 105호,1355.0,1119.0,
270,270,브리즈번 버거앤비어 하남미사역점,경기 하남시 미사강변중앙로 181 1층 104호,1869.0,1507.0,햄버거
271,271,배다리 문가네,경기 하남시 서하남로47번길 214-39 . 1층,8156.0,6379.0,한식당
272,272,김가네 미사스카이폴리스점,경기 하남시 미사강변한강로 135 스카이폴리스 124호,490.0,358.0,분식
273,273,,,,,
274,274,흑삼족,경기 하남시 미사강변북로30번길 118 1층,1640.0,1345.0,고기
275,275,신계닭갈비 미사점,경기 하남시 미사강변중앙로 193 1층 106호,1735.0,1411.0,고기
276,276,면대면우육면마라탕,경기 하남시 미사강변서로 25 지1층 RB115호,3438.0,2742.0,중국집
277,277,,,,,
278,278,,,,,
279,279,,,,,
280,280,,,,,
281,281,미사텐,경기 하남시 미사강변동로84번길 29 2층 202호 [ 건물명 : 헤리움 애비뉴어 ],1828.0,1421.0,식당
282,282,사계진미 하남점,서울 송파구 거마로3길 4 2층,11558.0,9006.0,고기
283,283,뽕이야(본점),경기 하남시 미사강변북로30번길 28 101호,1501.0,1245.0,중국집
284,284,,,,,
285,285,한회장댁,경기 하남시 신장1로 12 1층 103호,5131.0,4146.0,
286,286,레디타임(readytime),경기 하남시 미사강변중앙로198번길 29 104,-1.0,-1.0,
287,287,취향마라마라탕 하남미사점,경기 하남시 미사강변대로226번길 30 망월동 스마트프라자 1층,1273.0,1159.0,중국집
288,288,포메인 RED 하남미사점,경기 하남시 미사강변동로 85 1층,1759.0,1410.0,아시안 음식
289,289,,,,,
290,290,,,,,
291,291,덕만이네 뼈해장국,경기 하남시 미사강변중앙로 174,1907.0,1505.0,해장국
292,292,,,,,
293,293,응큼떡볶이 미사점,경기 하남시 미사대로 410 미사강변 오벨리스크 1층 170호,954.0,784.0,
294,294,라홍방마라탕 미사역점,경기 하남시 미사강변동로 73 노블레스상가 111호,1839.0,1486.0,중국집
295,295,,,,,
296,296,초가네장어구이 하남점,경기 하남시 하남대로801번길 65 105호,4881.0,3936.0,해물
297,297,,,,,
298,298,,,,,
299,299,,,,,
300,300,카츠몬,경기 하남시 미사대로 520 현대지식산업센터2차 C동104호,1967.0,1638.0,돈가스
301,301,동래정 하남미사점,경기 하남시 미사강변중앙로 185 1층,1829.0,1479.0,고기
302,302,테이스트앤드테이스트 피자 스탠드 하남 스타필드점,경기 하남시 미사대로 750 3층,4661.0,3740.0,피자
303,303,우먼스키친,경기 하남시 신장1로3번길 64-1,4916.0,3956.0,식당
304,304,최가다방,경기 하남시 서하남로 447 2층,7406.0,5722.0,카페
305,305,차이니즈 인 미사,경기 하남시 미사강변남로 125 101동 113호,1856.0,1470.0,중국집
306,306,한끼정 하남점,경기 하남시 미사강변한강로334번길 30 1층,1811.0,1485.0,일식당
307,307,춘옥이네,경기 하남시 미사강변중앙로 161 2층 209호,2048.0,1635.0,카페
308,308,생활맥주 위례점,경기 하남시 위례대로 220 지웰푸르지오 상가 101A호,13659.0,10718.0,호프
309,309,,,,,
310,310,청년감자탕순대국 하남미사점,경기 하남시 미사강변중앙로 11 두산 더프론트 미사 1층 118호,3666.0,3053.0,식당
311,311,쭈니네랭삼,경기 하남시 하남대로776번길 55 1층,4697.0,3795.0,고기
312,312,12인치 사운드바,경기 하남시 미사강변중앙로 219 2층 206호,1472.0,1224.0,주류
313,313,홍미김밥,경기 하남시 미사강변한강로334번길 18 1층,1745.0,1430.0,분식
314,314,우시야 미사점,경기 하남시 미사강변중앙로 226 1층 131호,1343.0,1102.0,고기
315,315,,,,,
316,316,,,,,
317,317,면면히,경기 하남시 미사강변대로34번길 90 메인프라자 114호,2892.0,2324.0,분식
318,318,리스닝커피로스터스,경기 하남시 하남대로933번길 16 온화한가 1층,4048.0,3177.0,카페
319,319,다래육회,경기 하남시 미사강변중앙로 218 108호,1355.0,1119.0,고기
320,320,,,,,
321,321,콘부 스타필드하남,경기 하남시 미사대로 750 3층 잇토피아,4661.0,3740.0,일식당
322,322,,,,,
323,323,,,,,
324,324,조선육회 하남점,경기 하남시 하남대로784번안길 17 조선육회 하남점,4576.0,3685.0,고기
325,325,호수꼬치 하남신장점,경기 하남시 신평로 53 1층,4818.0,3847.0,일식당
326,326,재킨보아즈,경기 하남시 미사강변한강로158번길 9 지하 1층 재킨보아즈,401.0,332.0,카페
327,327,,,,,
328,328,치킨봇,경기 하남시 미사강변대로226번길 9 1층 109호,1557.0,1228.0,치킨
329,329,,,,,
330,330,삼형제김밥 미사점,경기 하남시 미사강변대로 212 1층 118호,1662.0,1332.0,분식
331,331,도야족발보쌈 미사하남점,경기 하남시 미사강변동로 127 경서타워 101호 도야족발보쌈,1396.0,1141.0,고기
332,332,만선호프 하남미사점,경기 하남시 미사강변중앙로 181 (망월동) 122123호,1869.0,1507.0,호프
333,333,신사동인동 하남점,경기 하남시 미사강변한강로 279 106호,1149.0,907.0,한식당
334,334,,,,,
335,335,,,,,
336,336,,,,,
337,337,,,,,
338,338,소코아 하남미사점,경기 하남시 미사강변북로30번길 79 1층,1761.0,1430.0,식당
339,339,위니드밥 풍산점,경기 하남시 하남대로 947 하남테크노밸리 U1센터 B동 지하1층 B145호,4059.0,3364.0,한식당
340,340,마라촉 마라탕&마라샹궈,경기 하남시 미사강변대로226번안길 15 상아프라자 1층 102호 (망월동),1647.0,1350.0,중국집
341,341,윤쉐프's 키친&펍,경기 하남시 미사강변중앙로 212 미사강변 안강프라이빗뷰 2층 204호,1489.0,1265.0,호프
342,342,아담만두(미사점),경기 하남시 미사강변동로 95 힐스테이트 미사 역 그랑파사쥬 1층 1137호,1690.0,1360.0,분식
343,343,,,,,
344,344,미사원조곱창,경기 하남시 미사강변중앙로 173 1층 113 114호,1940.0,1557.0,고기
345,345,소자밥상,경기 하남시 하남대로777번길 74 1층,5229.0,4110.0,한식당
346,346,우리동네 참치정육점(미사점),경기 하남시 미사강변중앙로 193 지2 1층 105호 우리동네 참치정육점 하남미사점,1735.0,1411.0,일식당
347,347,신사냉삼촌 하남미사점,경기 하남시 미사강변중앙로 210 1층 101 102호,1517.0,1285.0,고기
